purl,id,ecosystem,cve,cpe
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-743r-5g92-5vgf,pypi,CVE-2021-40829,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:node.js:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-743r-5g92-5vgf,pypi,CVE-2021-40829,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:python:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-743r-5g92-5vgf,pypi,CVE-2021-40829,cpe:2.3:o:apple:macos:-:*:*:*:*:*:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-94jq-q5v2-76wj,pypi,CVE-2021-40828,cpe:2.3:a:amazon:amazon_web_services_aws-c-io:*:*:*:*:*:*:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-94jq-q5v2-76wj,pypi,CVE-2021-40828,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:c\+\+:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-94jq-q5v2-76wj,pypi,CVE-2021-40828,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:java:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-94jq-q5v2-76wj,pypi,CVE-2021-40828,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:node.js:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-94jq-q5v2-76wj,pypi,CVE-2021-40828,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:python:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-94jq-q5v2-76wj,pypi,CVE-2021-40828,cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-c4rh-4376-gff4,pypi,CVE-2021-40830,cpe:2.3:a:amazon:amazon_web_services_aws-c-io:0.10.4:*:*:*:*:*:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-c4rh-4376-gff4,pypi,CVE-2021-40830,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:c\+\+:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-c4rh-4376-gff4,pypi,CVE-2021-40830,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:java:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-c4rh-4376-gff4,pypi,CVE-2021-40830,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:node.js:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-c4rh-4376-gff4,pypi,CVE-2021-40830,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:python:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-c4rh-4376-gff4,pypi,CVE-2021-40830,cpe:2.3:o:linux:linux_kernel:-:*:*:*:*:*:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-c4rh-4376-gff4,pypi,CVE-2021-40830,cpe:2.3:o:opengroup:unix:-:*:*:*:*:*:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-j3f7-7rmc-6wqj,pypi,CVE-2021-40831,cpe:2.3:a:amazon:amazon_web_services_aws-c-io:0.10.7:*:*:*:*:*:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-j3f7-7rmc-6wqj,pypi,CVE-2021-40831,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:c\+\+:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-j3f7-7rmc-6wqj,pypi,CVE-2021-40831,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:java:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-j3f7-7rmc-6wqj,pypi,CVE-2021-40831,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:node.js:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-j3f7-7rmc-6wqj,pypi,CVE-2021-40831,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:python:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-j3f7-7rmc-6wqj,pypi,CVE-2021-40831,cpe:2.3:o:apple:macos:-:*:*:*:*:*:*:*
pkg:npm/opencc,GHSA-9qh2-6fxg-9m4g,pypi,CVE-2018-16982,cpe:2.3:a:byvoid:open_chinese_convert:1.0.5:*:*:*:*:*:*:*
pkg:nuget/Google.Protobuf,GHSA-77rm-9x9h-xj3g,pypi,CVE-2021-22570,cpe:2.3:a:google:protobuf:*:*:*:*:*:*:*:*
pkg:nuget/Google.Protobuf,GHSA-77rm-9x9h-xj3g,pypi,CVE-2021-22570,cpe:2.3:a:netapp:active_iq_unified_manager:-:*:*:*:*:vmware_vsphere:*:*
pkg:nuget/Google.Protobuf,GHSA-77rm-9x9h-xj3g,pypi,CVE-2021-22570,cpe:2.3:a:netapp:active_iq_unified_manager:-:*:*:*:*:windows:*:*
pkg:nuget/Google.Protobuf,GHSA-77rm-9x9h-xj3g,pypi,CVE-2021-22570,cpe:2.3:a:netapp:oncommand_insight:-:*:*:*:*:*:*:*
pkg:nuget/Google.Protobuf,GHSA-77rm-9x9h-xj3g,pypi,CVE-2021-22570,cpe:2.3:a:netapp:oncommand_workflow_automation:-:*:*:*:*:*:*:*
pkg:nuget/Google.Protobuf,GHSA-77rm-9x9h-xj3g,pypi,CVE-2021-22570,cpe:2.3:a:netapp:snapcenter:-:*:*:*:*:*:*:*
pkg:nuget/Google.Protobuf,GHSA-77rm-9x9h-xj3g,pypi,CVE-2021-22570,cpe:2.3:a:oracle:mysql:*:*:*:*:*:*:*:*
pkg:nuget/Google.Protobuf,GHSA-77rm-9x9h-xj3g,pypi,CVE-2021-22570,cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*
pkg:nuget/Google.Protobuf,GHSA-77rm-9x9h-xj3g,pypi,CVE-2021-22570,cpe:2.3:o:debian:debian_linux:11.0:*:*:*:*:*:*:*
pkg:nuget/Google.Protobuf,GHSA-77rm-9x9h-xj3g,pypi,CVE-2021-22570,cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*
pkg:nuget/Google.Protobuf,GHSA-77rm-9x9h-xj3g,pypi,CVE-2021-22570,cpe:2.3:o:fedoraproject:fedora:34:*:*:*:*:*:*:*
pkg:nuget/Google.Protobuf,GHSA-77rm-9x9h-xj3g,pypi,CVE-2021-22570,cpe:2.3:o:fedoraproject:fedora:35:*:*:*:*:*:*:*
pkg:nuget/Google.Protobuf,GHSA-77rm-9x9h-xj3g,pypi,CVE-2021-22570,cpe:2.3:o:fedoraproject:fedora:36:*:*:*:*:*:*:*
pkg:nuget/Google.Protobuf,GHSA-jwvw-v7c5-m82h,pypi,CVE-2015-5237,cpe:2.3:a:google:protobuf:*:*:*:*:*:*:*:*
pkg:pypi/accesscontrol,GHSA-qcx9-j53g-ccgf,pypi,CVE-2021-32807,cpe:2.3:a:zope:accesscontrol:*:*:*:*:*:*:*:*
pkg:pypi/accesscontrol,PYSEC-2021-335,pypi,CVE-2021-32807,cpe:2.3:a:zope:accesscontrol:*:*:*:*:*:*:*:*
pkg:pypi/accesscontrol,PYSEC-2021-370,pypi,CVE-2021-32811,cpe:2.3:a:zope:accesscontrol:*:*:*:*:*:*:*:*
pkg:pypi/accesscontrol,PYSEC-2021-370,pypi,CVE-2021-32811,cpe:2.3:a:zope:zope:*:*:*:*:*:*:*:*
pkg:pypi/acryl-datahub,GHSA-r8gm-v65f-c973,pypi,CVE-2022-39366,cpe:2.3:a:datahub_project:datahub:*:*:*:*:*:*:*:*
pkg:pypi/admesh,GHSA-5jrq-582v-9767,pypi,CVE-2018-25033,cpe:2.3:a:admesh_project:admesh:*:*:*:*:*:*:*:*
pkg:pypi/admesh,GHSA-5jrq-582v-9767,pypi,CVE-2018-25033,cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*
pkg:pypi/admesh,PYSEC-2022-182,pypi,CVE-2018-25033,cpe:2.3:a:admesh_project:admesh:*:*:*:*:*:*:*:*
pkg:pypi/admesh,PYSEC-2022-182,pypi,CVE-2018-25033,cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*
pkg:pypi/aim,GHSA-8phj-f9w2-cjcc,pypi,CVE-2021-43775,cpe:2.3:a:aimstack:aim:*:*:*:*:*:python:*:*
pkg:pypi/aim,PYSEC-2021-839,pypi,CVE-2021-43775,cpe:2.3:a:aimstack:aim:*:*:*:*:*:python:*:*
pkg:pypi/aiohttp,GHSA-rwqr-c348-m5wr,pypi,CVE-2022-33124,cpe:2.3:a:aiohttp_project:aiohttp:3.8.1:*:*:*:*:*:*:*
pkg:pypi/aiohttp,GHSA-v6wp-4m6f-gcjg,pypi,CVE-2021-21330,cpe:2.3:a:aiohttp_project:aiohttp:*:*:*:*:*:*:*:*
pkg:pypi/aiohttp,GHSA-v6wp-4m6f-gcjg,pypi,CVE-2021-21330,cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*
pkg:pypi/aiohttp,GHSA-v6wp-4m6f-gcjg,pypi,CVE-2021-21330,cpe:2.3:o:fedoraproject:fedora:33:*:*:*:*:*:*:*
pkg:pypi/aiohttp,GHSA-v6wp-4m6f-gcjg,pypi,CVE-2021-21330,cpe:2.3:o:fedoraproject:fedora:34:*:*:*:*:*:*:*
pkg:pypi/aiohttp,PYSEC-2021-76,pypi,CVE-2021-21330,cpe:2.3:a:aiohttp_project:aiohttp:*:*:*:*:*:*:*:*
pkg:pypi/aiohttp,PYSEC-2021-76,pypi,CVE-2021-21330,cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*
pkg:pypi/aiohttp,PYSEC-2021-76,pypi,CVE-2021-21330,cpe:2.3:o:fedoraproject:fedora:33:*:*:*:*:*:*:*
pkg:pypi/aiohttp,PYSEC-2021-76,pypi,CVE-2021-21330,cpe:2.3:o:fedoraproject:fedora:34:*:*:*:*:*:*:*
pkg:pypi/aiohttp-session,GHSA-fpwp-69xv-c67f,pypi,CVE-2018-1000519,cpe:2.3:a:aio-libs_project:aiohttp:-:*:*:*:*:*:*:*
pkg:pypi/aiohttp-session,GHSA-mr4x-c4v9-x729,pypi,CVE-2018-1000814,cpe:2.3:a:aiohttp-session_project:aiohttp-session:*:*:*:*:*:*:*:*
pkg:pypi/aiohttp-session,PYSEC-2018-35,pypi,CVE-2018-1000814,cpe:2.3:a:aiohttp-session_project:aiohttp-session:*:*:*:*:*:*:*:*
pkg:pypi/aiohttp-session,PYSEC-2018-80,pypi,CVE-2018-1000519,cpe:2.3:a:aio-libs_project:aiohttp:-:*:*:*:*:*:*:*
pkg:pypi/aioxmpp,GHSA-6m9g-jr8c-cqw3,pypi,CVE-2019-1000007,cpe:2.3:a:aioxmpp_project:aioxmpp:*:*:*:*:*:*:*:*
pkg:pypi/aioxmpp,PYSEC-2019-1,pypi,CVE-2019-1000007,cpe:2.3:a:aioxmpp_project:aioxmpp:*:*:*:*:*:*:*:*
pkg:pypi/aioxmpp,PYSEC-2019-71,pypi,CVE-2019-1000007,cpe:2.3:a:aioxmpp_project:aioxmpp:*:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-98,pypi,CVE-2014-2260,cpe:2.3:a:ajenti:ajenti:1.2.13:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:*:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.0:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.1:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.10:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.11.2:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.12:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.13:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.14:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.15:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.16:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.17:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.18:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.19:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.2:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.20:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.3:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.4:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.5:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.6:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.7:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.8:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2014-99,pypi,CVE-2014-4301,cpe:2.3:a:ajenti:ajenti:1.2.9:*:*:*:*:*:*:*
pkg:pypi/ajenti,PYSEC-2018-107,pypi,CVE-2018-18548,cpe:2.3:a:ajenti:ajenticp:*:*:*:*:*:*:*:*
pkg:pypi/ajenti-panel,PYSEC-2018-109,pypi,CVE-2018-1000080,cpe:2.3:a:ajenti:ajenti:2:*:*:*:*:*:*:*
pkg:pypi/ajenti-panel,PYSEC-2018-110,pypi,CVE-2018-1000081,cpe:2.3:a:ajenti:ajenti:2:*:*:*:*:*:*:*
pkg:pypi/ajenti-panel,PYSEC-2018-111,pypi,CVE-2018-1000082,cpe:2.3:a:ajenti:ajenti:2:*:*:*:*:*:*:*
pkg:pypi/ajenti-panel,PYSEC-2018-112,pypi,CVE-2018-1000083,cpe:2.3:a:ajenti:ajenti:2:*:*:*:*:*:*:*
pkg:pypi/ajenti-panel,PYSEC-2018-113,pypi,CVE-2018-1000126,cpe:2.3:a:ajenti:ajenti:2:*:*:*:*:*:*:*
pkg:pypi/aleksis-core,GHSA-76x2-h8h3-cwjg,pypi,CVE-2022-29773,cpe:2.3:a:aleksis:aleksis:*:*:*:*:*:*:*:*
pkg:pypi/alerta-server,GHSA-5hmm-x8q8-w5jh,pypi,CVE-2020-26214,cpe:2.3:a:alerta_project:alerta:*:*:*:*:*:*:*:*
pkg:pypi/alerta-server,PYSEC-2020-159,pypi,CVE-2020-26214,cpe:2.3:a:alerta_project:alerta:*:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-2pfh-q76x-gwvm,pypi,CVE-2021-3583,cpe:2.3:a:redhat:ansible_automation_platform:1.2:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-2pfh-q76x-gwvm,pypi,CVE-2021-3583,cpe:2.3:a:redhat:ansible_engine:*:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-2pfh-q76x-gwvm,pypi,CVE-2021-3583,cpe:2.3:a:redhat:ansible_tower:*:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3c67-gc48-983w,pypi,CVE-2020-10691,cpe:2.3:a:redhat:ansible_engine:*:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3c67-gc48-983w,pypi,CVE-2020-10691,cpe:2.3:a:redhat:ansible_tower:3.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3m93-m4q6-mc6v,pypi,CVE-2019-14864,cpe:2.3:a:opensuse:backports_sle:15.0:sp1:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3m93-m4q6-mc6v,pypi,CVE-2019-14864,cpe:2.3:a:redhat:ansible:*:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3m93-m4q6-mc6v,pypi,CVE-2019-14864,cpe:2.3:a:redhat:ansible_tower:3.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3m93-m4q6-mc6v,pypi,CVE-2019-14864,cpe:2.3:a:redhat:ceph_storage:3.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3m93-m4q6-mc6v,pypi,CVE-2019-14864,cpe:2.3:a:redhat:cloudforms_management_engine:5.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3m93-m4q6-mc6v,pypi,CVE-2019-14864,cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3m93-m4q6-mc6v,pypi,CVE-2019-14864,cpe:2.3:o:opensuse:leap:15.1:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3m93-m4q6-mc6v,pypi,CVE-2019-14864,cpe:2.3:o:redhat:enterprise_linux:6.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3m93-m4q6-mc6v,pypi,CVE-2019-14864,cpe:2.3:o:redhat:enterprise_linux:7.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3m93-m4q6-mc6v,pypi,CVE-2019-14864,cpe:2.3:o:redhat:enterprise_linux:8.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3xvg-x47j-x75w,pypi,CVE-2018-10874,cpe:2.3:a:redhat:ansible_engine:2.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3xvg-x47j-x75w,pypi,CVE-2018-10874,cpe:2.3:a:redhat:ansible_engine:2.4:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3xvg-x47j-x75w,pypi,CVE-2018-10874,cpe:2.3:a:redhat:ansible_engine:2.5:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3xvg-x47j-x75w,pypi,CVE-2018-10874,cpe:2.3:a:redhat:ansible_engine:2.6:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3xvg-x47j-x75w,pypi,CVE-2018-10874,cpe:2.3:a:redhat:openstack:10:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3xvg-x47j-x75w,pypi,CVE-2018-10874,cpe:2.3:a:redhat:openstack:12:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3xvg-x47j-x75w,pypi,CVE-2018-10874,cpe:2.3:a:redhat:openstack:13:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3xvg-x47j-x75w,pypi,CVE-2018-10874,cpe:2.3:a:redhat:virtualization:4.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-3xvg-x47j-x75w,pypi,CVE-2018-10874,cpe:2.3:a:redhat:virtualization_host:4.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-4r65-35qq-ch8j,pypi,CVE-2021-3620,cpe:2.3:a:redhat:ansible_automation_platform_early_access:2.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-4r65-35qq-ch8j,pypi,CVE-2021-3620,cpe:2.3:a:redhat:ansible_engine:*:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-4r65-35qq-ch8j,pypi,CVE-2021-3620,cpe:2.3:a:redhat:openstack:1:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-4r65-35qq-ch8j,pypi,CVE-2021-3620,cpe:2.3:a:redhat:openstack:16.1:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-4r65-35qq-ch8j,pypi,CVE-2021-3620,cpe:2.3:a:redhat:virtualization:4.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-4r65-35qq-ch8j,pypi,CVE-2021-3620,cpe:2.3:a:redhat:virtualization_for_ibm_power_little_endian:4.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-4r65-35qq-ch8j,pypi,CVE-2021-3620,cpe:2.3:a:redhat:virtualization_host:4.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-4r65-35qq-ch8j,pypi,CVE-2021-3620,cpe:2.3:a:redhat:virtualization_manager:4.4:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-4r65-35qq-ch8j,pypi,CVE-2021-3620,cpe:2.3:o:redhat:enterprise_linux:8.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-4r65-35qq-ch8j,pypi,CVE-2021-3620,cpe:2.3:o:redhat:enterprise_linux_for_power_little_endian:8.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-588w-w6mv-3cw5,pypi,CVE-2017-7550,cpe:2.3:a:redhat:ansible:*:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-588w-w6mv-3cw5,pypi,CVE-2017-7550,cpe:2.3:o:redhat:enterprise_linux_server:7.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-5rrg-rr89-x9mv,pypi,CVE-2021-20228,cpe:2.3:a:redhat:ansible_automation_platform:1.2:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-5rrg-rr89-x9mv,pypi,CVE-2021-20228,cpe:2.3:a:redhat:ansible_engine:2.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-5rrg-rr89-x9mv,pypi,CVE-2021-20228,cpe:2.3:a:redhat:ansible_engine:2.9:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-5rrg-rr89-x9mv,pypi,CVE-2021-20228,cpe:2.3:a:redhat:ansible_engine:2.9.18:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-5rrg-rr89-x9mv,pypi,CVE-2021-20228,cpe:2.3:a:redhat:ansible_tower:3.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-5rrg-rr89-x9mv,pypi,CVE-2021-20228,cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-74vq-h4q8-x6jv,pypi,CVE-2019-3828,cpe:2.3:a:redhat:ansible:*:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-77g3-3j5w-64w4,pypi,CVE-2020-10685,cpe:2.3:a:redhat:ansible_engine:*:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-77g3-3j5w-64w4,pypi,CVE-2020-10685,cpe:2.3:a:redhat:ansible_tower:*:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-77g3-3j5w-64w4,pypi,CVE-2020-10685,cpe:2.3:a:redhat:ceph_storage:2.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-77g3-3j5w-64w4,pypi,CVE-2020-10685,cpe:2.3:a:redhat:ceph_storage:3.0:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-77g3-3j5w-64w4,pypi,CVE-2020-10685,cpe:2.3:a:redhat:openstack:10:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-77g3-3j5w-64w4,pypi,CVE-2020-10685,cpe:2.3:a:redhat:openstack:13:*:*:*:*:*:*:*
pkg:pypi/ansible,GHSA-77g3-3j5w-64w4,pypi,CVE-2020-10685,cpe:2.3:a:redhat:openstack:15:*:*:*:*:*:*:*
